Date,Author,Title,Link
1996,"Chomsky, Noam",Power & Prospects,
2002,"Chumachenko, T. A.",Church and state in Soviet Russia,
1960,Cicero,Selected Works,
44 BCE,Cicero,On Duties,
44 BCE,Cicero,On old age and on friend,
45 BCE,Cicero,The Nature of the Gods,
2012,"Clark, Christopher M.",The sleepwalkers,
2007,"Clark, Katerina",Soviet culture and power: a history in documents,
2005,"Clark, Kenneth",Leonardo da Vinci,
1968,"Clausewitz, Carl von",On War,
1994,"Coleridge, Samuel Taylor",Selected Poetry,
1931,"Collins, A. S. (Edited)",Treasury of English Verse New and Old,
1883,"Collodi, C.",Le Avventura di Pinocchio,
1915,"Conrad, Joseph (arranged by Harriet M. Capes)",Wisdom and Beauty from Conrad: An Anthology,
1986,"Cope, Bill",The Blainey debate and the critics of multiculturalism,
1890s,"Cowper, William",The Poetical Works of William Cowper,
1968,"Cox, C. E.; Dyson, A. E. (Edited by)",Poems of this Century,
1894,"Creasy, Edward",The Fifteen Decisive Battles of the World,
1913,"Croce, Benedetto",The philosophy of Giambattista Vico,
1915,"Croce, Benedetto",What is living and what is dead of the philosophy of Hegel,
1922,"Croce, Benedetto",Aesthetic: as science of expression and general linguistic,
1953,"Cross, Milton; Ewen, David",Encyclopedia of the Great Composers and Their Music: Volume II,
1953,"Cross, Milton; Ewen, David",Encyclopedia of the Great Composers and Their Music: Volume I,
1921,"Crowest, Frederick J.",Beethoven,
1961,"Dahl, Roald",Someone Like You,
1989,"Dalley, Stephanie","Myths from Mesopotamia (Creation; Flood; Gilgamesh, and others)",
2014,"Dalrymple, William","Return of A King: The Battle for Afghanistan, 1839-42",
1997,"Dalrymple, William",From the Holy Mountain,
1970,Dante,The Divine Comedy,
2011,"Darin, Charles",The Origin of the Species,
1968,"Darwin, Charles",The Voyage of the 'Beagle',
1946,"De La Mare, Walter",Collected Poems,
1975,"de Saint-Exupéry, Antoine","Wind, Sand & Stars",
1994,"de Tocqueville, Alexis",Democracy in America,
1892,"de Witt Hyde, William",Practical Ethics,
1900,"de Witt Hyde, William",The School Speaker and Reader,
1905,"de Witt Hyde, William",From Epicurus to Christ,
1906,"de Witt Hyde, William",The College Man and the College Woman,
1911,"de Witt Hyde, William",The Five Great Philosophies of Life,
1913,"de Witt Hyde, William","The Quest of the Best Insights into Ethics for Parents, Teachers, and Leaders of Boys",
1916,"de Witt Hyde, William",Are you human?,
2010,"Defoe, Daniel",Robinson Crusoe,
1975,Demosthenes; Aeschines,The Treaty; The Crown,
1976,"Derrida, Jacques",Of Grammatology,
1970,"Descartes, René",Philosophical Writings: A Selection,
1952,"Dewey, Thomas E.",Journey to the Far Pacific,
1963,"Dickens, Charles",Great Expectations,
1970,"Dickens, Charles",Oliver Twist,
1849–1850,"Dickens, Charles",David Copperfield,
1842,"Dickens, Charles",American Notes; Pictures from Italy,
1851–1853,"Dickens, Charles",A Child's History of England,
1901,"Dobson, Austin",Old-World Idylls and other verses,
1995,"Donald, David Herbert",Lincoln,
1950,"Donne, John",John Donne: A Selection of His Poetry,
1942,"Donne, John (Ed. by Hayward, John)",Complete Poetry and Selected Prose,
1941,"Donne, John; Blake, William",The Complete Poetry and Selected Prose of John Donne & The Complete Poetry of William Blake,
1952,"Dostoevsky, Fyodor Mikhailovich",Great Books of the Western World [52]: The Brothers Karamazov,
1966,"Douglas, Bryan",Great Stories of Mystery and Imagination: Selected by...,
1845,"Douglass, Frederick",Narrative of the Life of Frederick Douglass,
1900,"Dryden, John",Essays Vol. I,
1867,"Dryden, John",The Poetical Works of John Dryden,
2009,"Dryzek, John S.; Dunleavy, P.",Theories of the Democratic State,
2000,"Duika, William J",Ho Chi Minh,
1844,"Dumas, Alexandre",The Three Musketeers,
1993,"Dunn, Stephen",Looking for Holes in the Ceiling,
1927,"Dunne, J. W.",An Experiment with Time,
1989,"Eco, Umberto",Foucault's Pendulum,
2018,"Eco, Umberto",Il Nome Della Rosa,
1850s-70s,"Edie, John (edited)","A new and complete Concordance to the Holy Scriptures, on the basis of Cruden",
1997,"Eliot, George",The Mill on the Floss,
1971,"Eliot, T. S.",The Waste Land and Other Poems,
1939,"Ellis, Havelock","Thinker's Library [74]: Morals, Manners, and Men",
1933,"Emerson, Ralph Waldo",The Heart of Emerson's essays,
1850,"Emerson, Ralph Waldo",Representative Men,
circa 300 BCE,Epicurus,Lettres et maximes,
400,"Erasmus, Desiderius",Erasmus on his times,
2003,"Erasmus, Desiderius",In Praise of Folly,
1950,"Esmond, Henry; Thackeray, W. M. (ed)","The History of Henry Esmond, Esq.",
1942,Euripides (Ed. by David Grene and Richmond Lattimore),The Complete Greek Tragedies:  Volume II (Sophocles),
1958,Euripides (Ed. by David Grene and Richmond Lattimore),The Complete Greek Tragedies:  Volume IV (Euripides),
1957,Euripides; Sophocles,Euripides' Cyclops; Sophocles' Ichneutai,
1963,"Farago, Ladislas",Patton: Ordeal and Triumph,
1996,"Farmer, Rachel",Beginners Russian: an easy introduction,
2003,"Farmer, Rachel",Beginners Russian: an easy introduction,
1993,"Farrell, Warren",The Myth of Male Power,
1000s,"Fichte, Johann Gottlieb","Fichte, early philsophical writings",
1947,"Fielding, Henry",Joseph Andrews,
2007,"Fielding, Henry",Tom Jones,
1950,"Fitzgerald, F. Scott",The Great Gatsby,
2003,"Flaubert, Gustave",Sentimental Education,
1997,"Florenskii, P. A.",The Pillar and the Ground of Truth,
1945,"Flugel, J. C.","Man, Morals, and Society: A psycho-analytical study",
1983,"Foner, Eric",Nothing but Freedom,
1992,"Foner, Eric",The Fiery Trial,
1926,"Ford, Henry",The Great To-Day and Greater Future,
1949,"Forster, E. M.",Aspects of the Novel,
1946,"Fourman, Maximilian",Teach yourself Russian,
1933,"Fox, Emmet",Your Heart's Desire,
1984,"Frame, Janet",An Angel at My Table,
2008,"Frankl, Viktor E.",Man's Search for Meaning,
1981,"Frayn, Michael; Kennedy, Ludovic; Kington, Miles; Palin, Michael; Robson, Eric; Thompson, Brian; Wood, Michael",Great Railway Journeys of the World,
1930,"Freud, Sigmund",Civilisation and its discontents,
1962,"Freud, Sigmund",Two Short Accounts of Psycho-Analysis,
1970,"Freud, Sigmund",Introductory Lectures on Pscyho-Analysis,
1997,"Freud, Sigmund",The Interpretation of Dreams,
2012,"Freud, Sigmund",A General Introduction to Psychoanalysis,
2006,"Friedman, Thomas L.",The World is Flat,
1891,"Frith, Henry","How to Read Character in Features, Forms, & Faces",
1989,"Fromkin, David",A Peace to End All Peace,
1866,"Froude, James Anthony",Short Studies on Great Subjects,
1947',"Frye, Northrop",A Fearful Symmetry,
1992,"Fukuyama, Francis",The End of History and the Last Man,
2019,"Gaddis, John Lewis",On Grand Strategy,
1958,"Galbraith, John Kenneth",The Affluent Society,
1956,"Galsworthy, John",The Forsyte Saga,
1950,"Galton, Francis",Hereditary Genius,
1980,"Garcia Lorca, Federico",Deep song: and other prose,
1914,"Gardiner, A. G.","Prophets, Priests, and Kings",
1972,"Gardner, Helen (Selected by)",The Metaphysical Poets,
2003,"Gare, Deborah",The Fuss that Never Ended: The Life and Work of Geoffrey Blainey,
1985,"Garraty, John A.; Gay, Peter (Ed.)",The University History of the World,
