Year,Director,Title
1963,"Hitchcock, Alfred ",The Birds
1964,"Kubrick, Stanley",Dr. Strangelove: Or How I Learned to Stop Worrying and Love the Bomb
1965,"Forman, Miloš",Loves of a Blonde
1966,"Bergman, Ingmar",Persona
1966,"Leone, Sergio","Good, The Bad, and The Ugly"
1966,"Pontecorvo, Gillo",Battle of Algiers
1967,"Brooks, Mel",The Producers
1967,"Buñuel, Luis",Belle de Jour
1967,"Kramer, Stanley",Guess Who's Coming to Dinner?
1968,"Kubrick, Stanley",2001: A Space Odyssey
1968,"Zeffirelli, Franco",Romeo and Juliet
1970,"Bertolucci, Bernardo",The Conformist
1970,"Hiller, Arthur ",Love Story
1970,"Jodorowsky, Alejandro",El Topo
1972,"Bergman, Ingmar",Cries and Whispers
1972,"Buñuel, Luis",Discreet Charm of the Bourgeoisie
1972,"Coppola, Francis Ford",The Godfather
1972,"Herzog, Werner",Aguirre: The Wrath of God
1972,"Tarkovsky, Andrei ",Solaris
1973,"Bergman, Ingmar",Scenes from a Marriage
1973,"Jodorowsky, Alejandro ",The Holy Mountain
1973,"Malick, Terrence",Badlands
1974,"Brooks, Mel",Blazing Saddles
1974,"Polanski, Roman",Chinatown
1975,"Altman, Robert",Nashville
1975,"Kubrick, Stanley",Barry Lyndon
1975,"Lumet, Sidney",Dog Day Afternoon
1975,"Richards, Dick","Farewell, My Lovely"
1975,"Spielberg, Steven",Jaws
1975,"Tarkovsky, Andrei ",The Mirror
1976,"Herzog, Werner",Heart of Glass
1976,"Lumet, Sidney",Network
1976,"Pakula, Alan ",All The President's Men
1976,"Scorsese, Martin",Taxi Driver
1977,"Badham, John",Saturday Night Fever
1977,"Herzog, Werner",Stroszek
1978,"Malick, Terrence",Days of Heaven
1979,"Ashby, Hal",Being There
1979,"Coppola, Francis Ford",Apocalypse Now
1979,"Miller, George",Mad Max
1979,"Miyazaki, Hayao",Castle in the Sky 
1980,"Scorsese, Martin",Raging Bull
1981,"Kasdan, Lawrence",Body Heat
1982,"Bergman, Ingmar",Fanny and Alexander
1982,"Herzog, Werner",Fitzcarraldo
1982,"Scorsese, Martin",King of Comedy
1984,"Forman, Miloš",Amadeus
1985,"Ivory, James",A Room Wtih A View
1985,"Klimov, Elem",Come and See
1985,"Scorsese, Martin",After Hours
1986,"Lynch, David",Blue Velvet
1987,"Jewison, Norman",Moonstruck
1987,"Kubrick, Stanley",Full Metal Jacket
1987,"Myers, Nancy",Baby Boom
1988,"Kaufman, Philip",Unbearable Lightness of Being
1988,"Miyazaki, Hayao",My Neighbour Totoro
1988,"Reiner, Rob",Princess Bride
1989,"Miyazaki, Hayao",Kiki's Delivery Service
1989,"Reiner, Rob",When Harry Met Sally
1990,"Marshall, Garry",Pretty Woman
1990,"Orr, James",Mr. Destiny
1991,"Minghella, Anthony ","Truly, Madly, Deeply"
1991,"Parka, Alan ",Commitments
1992,"Ivory, James",Howards End
1993,"Ephron, Nora",Sleepless in Seattle
1993,"Scorsese, Martin",Age of Innocence
1995,"Kassovitz, Mathieu",La Haine
1995,"Linklater, Richard",Before Sunrise
1995,"Mann, Michael",Heat
1995,"Zwigoff, Terry",Crumb
1996,"Luhrmann, Baz",Romeo and Juliet
1997,"Miyazaki, Hayao",Princess Mononoke
1998,"Farrelly, Peter",There's Something About Mary
1998,"Malick, Terrence",The Thin Red Line
1999,"Kubrick, Stanley",Eyes Wide Shut
1999,"Mitchell, Roger",Notting Hill
2000,"Aronofsky, Darren",Requiem for a Dream
2000,"Hanson, Curtis",Wonder Boys
2000,"Meyers, Nancy",What Women Want
2000,"Park, Chan-wook",Sympathy for Mr. Vengeance
2001,"Lynch, David",Mulholland Drive
2001,"Maguire, Sharon",Bridget Jones' Diary
2001,"Miyazaki, Hayao",Spirited Away
2001,"Nolan, Christopher",Memento
2001,"Wong, Kar-Wai",In the Mood for Love
2002,"Jeunet, Jean-Pierre",Amelie
2003,"Bong, Joon-ho ",Memories of Murder
2003,"Coen, Ethan",Intolerable Cruelty
2003,"Park, Chan-wook",Oldboy
2004,"Gibson, Mel",Passion of Christ
2004,"Linklater, Richard",Before Sunset
2005,"July, Miranda",Me and You and Everyone We Know
2005,"Park, Chan-wook",Lady Vengeance
2005,"Wright, Joe",Pride and Prejudice
2006,"Cuarón, Alfonso",Children of Men
2006,"del Toro, Guillermo",Pan's Labyrinth
2006,"Hytner, Nicholas",History Boys
2007,"Anderson, Paul Thomas",There Will Be Blood
2007,"Bird, Brad",Ratatouille
2007,"Henckel, Florian",Lives of Others
2007,"von Donnersmarck, Florian Henckel",The Lives of Others
2008,"Nolan, Christopher",The Dark Knight
2008,"Singh, Tarsem",The Fall
2008,"Stanton, Andrew",Wall-E
2008,"Wachowski, Lana, Wachowski, Lilly",Speed Racer
2009,"Anderson, Wes",Fantastic Mr. Fox
2009,"Tarantino, Quentin",Inglourious Basterds
2010,"Fincher, David",The Social Network
2011,"Fricke, Ron",Samsara
2011,"Malick, Terrence",The Tree of Life
2011,"von Trier, Lars",Melancholia
2012,"Anderson, Wes",Moonrise Kingdom
2012,"Wachowski, Lana, Wachowski, Lilly",Cloud Atlas
2013,"Bong, Joon-ho ",Snowpiercer
2013,"Miyazaki, Hayao",Ponyo
2013,"Miyazaki, Hayao",The Wind Rises
2013,"Oppenheimer, Joshua",The Act of Killing
2013,"Scorsese, Martin",The Wolf of Wall Street
2014,"Chazelle, Damien",Whiplash
2015,"Miller, George",Mad Max: Fury Road
2018,"Pawlikowski, Paweł",Cold War
2022,"Kwan, Daniel; Scheinert, Daniel",Everything Everywhere All At Once
2023,"Dos Santos, Joaquim",Spiderman: Across the Spiderverse
2024,"Coppola, Francis Ford",Megalopolis
2024,"Sanders, Chris",The Wild Robot
1988,"Miyazaki, Hayao",Grave of the Fireflies
1933,"McCarey, Leo",Duck Soup
1944,"Wilder, Billy ",Double Indemnity
1964,"Pasolini, Pier Paolo",The Gospel According to St. Matthew
1946,"Hitchcock, Alfred ",Notorious
1962,"Ford, John",The Man Who Shot Liberty Valance
1957,"Bergman, Ingmar",Wild Strawberries
1968,"Leone, Sergio",Once Upon a Time in the West
1968,"Wyler, William",Funny Girl
1969,"Kelly, Gene","Hello, Dolly!"
1957,"Lean, David",The Bridge on the River Kwai
1960,"Antonioni, Michaelangelo",L'aaventura
1966,"Tarkovsky, Andrei ",Andrei Rublev
1948,"Powell, Michael; Pressburger, Emeric",The Red Shoes
1989,"Lee, Spike",Do the Right Thing
1974,"Coppola, Francis Ford",The Conversation
1941,"Welles, Orson",Citizen Kane
